,Channel 1,Channel 2,Correlation
175,F8,T7,0.668260822697454
73,F7,T8,0.668260822697454
274,FC6,CP6,0.6658769108889054
205,FC5,CP5,0.6658769108889054
7,Fp1,FC1,0.6645708322678539
38,Fp2,FC2,0.6645708322678539
400,CP5,PO9,0.6608586122576487
440,CP6,PO10,0.6608586122576434
382,TP9,P3,0.6592455211711208
444,TP10,P4,0.6592455211711207
478,P4,Oz,0.6589342767493414
465,P3,Oz,0.6589342767493414
313,C3,CP6,0.6545976476336227
345,C4,CP5,0.6545976476336227
240,FC1,Oz,0.6542139936697656
262,FC2,Oz,0.6542139936697656
405,CP1,CP2,0.6530203847104998
387,TP9,O1,0.6527122533113152
449,TP10,O2,0.6527122533113097
156,F4,CP5,0.6497385985041635
106,F3,CP6,0.6497385985041634
367,T8,P3,0.6494864366916177
299,T7,P4,0.6494864366916177
316,C3,P3,0.6484619954962623
353,C4,P4,0.6484619954962623
87,F7,Oz,0.6481725442311297
193,F8,Oz,0.6481725442311296
126,Fz,Cz,0.6475122384179065
114,F3,O1,0.6467529079254566
169,F4,O2,0.6467529079254513
123,Fz,FC6,0.6451708702841698
120,Fz,FC5,0.6451708702841696
492,O1,PO10,0.6446184129826706
488,PO9,O2,0.6446184129826706
369,T8,P4,0.6445735427991363
297,T7,P3,0.6445735427991363
306,C3,Cz,0.6432719723750259
325,Cz,C4,0.6432719723750259
483,P8,Oz,0.642114444817576
457,P7,Oz,0.642114444817576
399,CP5,P8,0.6405671906710702
431,CP6,P7,0.64056719067107
229,FC1,CP1,0.6404768336403627
252,FC2,CP2,0.6404768336403627
4,Fp1,F4,0.6404457429081006
32,Fp2,F3,0.6404457429081006
301,T7,PO9,0.6394228272556655
375,T8,PO10,0.63942282725566
182,F8,CP1,0.6377208113434361
77,F7,CP2,0.6377208113434361
26,Fp1,PO9,0.6359012616829982
60,Fp2,PO10,0.6359012616829928
119,Fz,F8,0.6357686588257839
62,F7,Fz,0.6357686588257839
378,TP9,CP2,0.6348108782586763
407,CP1,TP10,0.6348108782586763
139,Fz,P8,0.6347048231953328
135,Fz,P7,0.6347048231953327
283,FC6,Oz,0.6342884722960385
217,FC5,Oz,0.6342884722960384
184,F8,CP6,0.6342515782584696
75,F7,CP5,0.6342515782584696
97,F3,T7,0.633838554028308
154,F4,T8,0.6338385540283078
315,C3,P7,0.6336870834052575
354,C4,P8,0.6336870834052574
176,F8,C3,0.6315505081544295
72,F7,C4,0.6315505081544294
20,Fp1,TP10,0.6295279804890463
45,Fp2,TP9,0.6295279804890463
46,Fp2,CP5,0.6280397484969029
19,Fp1,CP6,0.6280397484969028
401,CP5,O1,0.6276168005379401
439,CP6,O2,0.6276168005379347
188,F8,Pz,0.6275555347335366
82,F7,Pz,0.6275555347335365
54,Fp2,P4,0.6231323159242089
22,Fp1,P3,0.6231323159242089
371,T8,PO9,0.6227367880342098
305,T7,PO10,0.6227367880342044
424,CP2,P8,0.6222295193774745
408,CP1,P7,0.6222295193774745
101,F3,T8,0.6221801666306772
150,F4,T7,0.6221801666306772
239,FC1,O1,0.6199934242235668
263,FC2,O2,0.6199934242235614
185,F8,TP10,0.6185577440338157
74,F7,TP9,0.6185577440338157
293,T7,CP2,0.618516693459773
362,T8,CP1,0.618516693459773
380,TP9,TP10,0.6184115521796184
238,FC1,PO9,0.6166834083529501
264,FC2,PO10,0.6166834083529447
338,Cz,PO9,0.6162631947911315
342,Cz,PO10,0.6162631947911259
137,Fz,Pz,0.615428934370142
309,C3,TP9,0.6144157362025814
349,C4,TP10,0.6144157362025813
18,Fp1,CP2,0.6144084456033895
47,Fp2,CP1,0.6144084456033894
138,Fz,P4,0.6139304402139475
136,Fz,P3,0.6139304402139475
110,F3,Pz,0.6138647198843269
163,F4,Pz,0.6138647198843269
147,F4,FC1,0.6132761031597658
95,F3,FC2,0.6132761031597658
441,TP10,P7,0.6115971021986896
385,TP9,P8,0.6115971021986896
152,F4,Cz,0.6114358281541845
99,F3,Cz,0.6114358281541845
134,Fz,TP10,0.6089886005111113
129,Fz,TP9,0.6089886005111111
477,P4,O1,0.6061770367273956
466,P3,O2,0.6061770367273903
113,F3,PO9,0.6059148057077515
170,F4,PO10,0.605914805707746
469,Pz,P8,0.6042770628782628
452,P7,Pz,0.6042770628782628
204,FC5,TP9,0.6028412515908728
275,FC6,TP10,0.6028412515908728
91,F3,F4,0.6024267442765918
384,TP9,P4,0.6021394433164525
442,TP10,P3,0.6021394433164524
356,C4,O1,0.60180098082873
323,C3,O2,0.6018009808287246
256,FC2,P3,0.6007827868229204
236,FC1,P4,0.6007827868229204
226,FC1,T8,0.5992174407785352
244,FC2,T7,0.5992174407785352
470,Pz,PO9,0.5991215391888957
474,Pz,PO10,0.5991215391888901
363,T8,CP2,0.5991214942621311
292,T7,CP1,0.5991214942621311
202,FC5,C4,0.5986162901617607
266,FC6,C3,0.5986162901617607
273,FC6,CP2,0.5974818844802612
206,FC5,CP1,0.5974818844802612
8,Fp1,FC2,0.5973168004156526
37,Fp2,FC1,0.5973168004156525
335,Cz,Pz,0.5969348476436283
489,PO9,PO10,0.5969218411840786
327,Cz,TP9,0.5956833699609161
332,Cz,TP10,0.5956833699609161
5,Fp1,F8,0.5943926716490444
31,Fp2,F7,0.5943926716490444
318,C3,P4,0.5939069452081847
351,C4,P3,0.5939069452081847
127,Fz,C4,0.5931115760642863
125,Fz,C3,0.5931115760642863
248,FC2,T8,0.5922089154377213
222,FC1,T7,0.5922089154377213
231,FC1,CP6,0.5918298171987009
250,FC2,CP5,0.5918298171987009
414,CP1,O1,0.5911599288550957
428,CP2,O2,0.5911599288550903
228,FC1,CP5,0.5904512542239548
253,FC2,CP6,0.5904512542239548
86,F7,O1,0.5880317127796665
194,F8,O2,0.588031712779661
436,CP6,PO9,0.5877059690268555
404,CP5,PO10,0.5877059690268501
267,FC6,Cz,0.5873949776668301
201,FC5,Cz,0.5873949776668301
433,CP6,Pz,0.5862613224506488
397,CP5,Pz,0.5862613224506488
103,F3,CP5,0.5833531468877212
159,F4,CP6,0.5833531468877212
43,Fp2,C4,0.5820782322979602
11,Fp1,C3,0.5820782322979602
